Item;Description;Quantity ;Unit price;Total Price;Source;Running Total ($ with Tax);Link
LiPo Battery 3S 11.1V 2200mAh XT60;High-performance lithium polymer battery allowing sufficient voltage and current to be delivered to the motor thanks to its high discharge rate;1;19,57;19,57;Aliexpress;23,29;"https://es.aliexpress.com/item/1005010535385320.html?spm=a2g0o.productlist.main.5.694e3036dOw3x8&algo_pvid=b80d14ac-2eb8-454b-9622-73ac577bed24&algo_exp_id=b80d14ac-2eb8-454b-9622-73ac577bed24-4&pdp_ext_f=%7B""order""%3A""1""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21CLP%2120721%2110600%21%21%21155.46%2179.53%21%402101ee6617664208804183520eaceb%2112000052735840324%21sea%21CL%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aeb55f528%3Bm03_new_user%3A-29895%3BpisId%3A5000000187458941&curPageLogUid=aXInLcoxzZQB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010535385320%7C_p_origin_prod%3A"
IMAX B3 PRO 7.4V/11.1V 2S 3S 110-240V Compact Lipo Battery Balance Charger;The charger allows you to both balance and charge the LiPo battery safely.;1;4,62;4,62;Aliexpress;5,5;"https://es.aliexpress.com/item/1005005136510204.html?spm=a2g0o.productlist.main.2.1c755133lrSZXw&algo_pvid=cfea2ff0-0482-4041-9eba-407e09f7df60&algo_exp_id=cfea2ff0-0482-4041-9eba-407e09f7df60-1&pdp_ext_f=%7B""order""%3A""85""%2C""spu_best_type""%3A""order""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%2123.83%217.36%21%21%21165.97%2151.29%21%4021033d1217668751951776208ee53b%2112000032033045913%21sea%21CL%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aeb55f528%3Bm03_new_user%3A-29895%3BpisId%3A5000000187458893&curPageLogUid=egYPFsaawe16&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005136510204%7C_p_origin_prod%3A"
RC FPV Micro Camera AIO 5.8G 25MW 40CH 800TVL Transmitter LST-S4 + FPV Camera with OSD Parts for Racing Drone;AIO system for video recording and transmission, allows for a stable video signal;1;14,65;14,65;Aliexpress;17,43;"https://es.aliexpress.com/item/1005007250358286.html?spm=a2g0o.productlist.main.4.286f4383pkcXG0&algo_pvid=1356f44b-da3a-4f16-acb2-5350321b90cb&algo_exp_id=1356f44b-da3a-4f16-acb2-5350321b90cb-3&pdp_ext_f=%7B""order""%3A""167""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%2155.33%2114.65%21%21%21383.70%21101.61%21%402101e2b617675712158582197ee6a5%2112000039948782824%21sea%21CL%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aeb55f528%3Bm03_new_user%3A-29895%3BpisId%3A5000000187458929&curPageLogUid=DFjszz4A4cBs&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007250358286%7C_p_origin_prod%3A"
RC832 Video Image Transmission Receiver, SKY 32S 5.8G FPV Wireless Upgrade;Video receiver to process the image and transform it into a USB signal for the application;1;18,99;18,99;Aliexpress;22,6;"https://es.aliexpress.com/item/4001042825044.html?spm=a2g0o.productlist.main.6.7ff17e39E4L4gD&algo_pvid=e66072a5-80af-474e-9063-b0709351b404&algo_exp_id=e66072a5-80af-474e-9063-b0709351b404-7&pdp_ext_f=%7B""order""%3A""3""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%2118.99%2118.99%21%21%2118.99%2118.99%21%402103128917677509412002200e4439%2110000013716139272%21sea%21CL%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aeb55f528%3Bm03_new_user%3A-29895&curPageLogUid=PASqTpSbmsib&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4001042825044%7C_p_origin_prod%3A"
"1/16""*3""*42"" Balsa Sheet";Construction material, in this case mainly for the fuselage;2;2,78;5,56;Balsa USA;6,62;https://balsausa.com/collections/4-balsa-sheet/products/1-16-x-3-x-42-balsa-sheet
"1/8""*3""*24"" Balsa Sheet";Construction material, in this case mainly for the fuselage;2;2,03;4,06;Balsa USA;4,83;https://balsausa.com/collections/3-balsawood-sheet/products/1-8-x-3-x-24-balsa-sheet
"1/4""*3""*24"" Balsa Sheet";Reinforcements for the control surfaces and fuselage;1;3,16;3,16;Balsa USA;3,76;https://balsausa.com/collections/3-balsawood-sheet/products/1-4-x-3-x-24-balsa-sheet
"1/8""*1/8""*36"" Balsa Strip";Reinforcements for the control surfaces and fuselage;4;0,61;2,44;Balsa USA;2,9;https://balsausa.com/collections/36-balsa-strips/products/1-8-x-1-8-x-36-balsa-stick
"1/2""*1/2""*36"" Balsa Strip";Reinforcements for the control surfaces and fuselage;2;2,46;4,92;Balsa USA;5,85;https://balsausa.com/collections/36-balsa-strips/products/1-2-x-1-2-x-36-balsa-stick
PCB;Circuit board to house all the electronics inside the aircraft;1;12,1;12,1;JLCPCB;12,1;
M4x8 Screws;Metric machine screws (M3/M4), zinc plated steel, for mechanical fastening and structural joining;8;0,08;0,64;Local Hardware Store;0,76;
M3x8 Screws;Metric machine screws (M3/M4), zinc plated steel, for mechanical fastening and structural joining;34;0,06;2,04;Local Hardware Store;2,43;
M4x10 Screws;Metric machine screws (M3/M4), zinc plated steel, for mechanical fastening and structural joining;8;0,09;0,72;Local Hardware Store;0,86;
M4x6 Screws;Metric machine screws (M3/M4), zinc plated steel, for mechanical fastening and structural joining;4;0,08;0,32;Local Hardware Store;0,38;
M3x20 Screws;Metric machine screws (M3/M4), zinc plated steel, for mechanical fastening and structural joining;4;0,1;0,4;Local Hardware Store;0,48;
M4x12 Screws;Metric machine screws (M3/M4), zinc plated steel, for mechanical fastening and structural joining;8;0,1;0,8;Local Hardware Store;0,95;
